Ohrmarkennummer,Datum,Klaue,Relative Klauenfläche (=Aussen/Innen),Mess Nr.,Gruppe
033260869,2021_04_14,links,0.9646,1,Gelb
033260869,2022_04_20,links,1.2321,2,Gelb
033260869,2023_04_18,links,0.9098,3,Gelb
033260869,2021_04_14,rechts,0.9761,1,Gelb
033260869,2022_04_20,rechts,0.9911,2,Gelb
033260869,2023_04_18,rechts,1.1592,3,Gelb
068836868,2020_12_16,links,1.1993,1,Weiß
068836868,2021_04_14,links,1.3897,2,Weiß
068836868,2022_04_20,links,1.2425,3,Weiß
068836868,2023_04_18,links,1.1922,4,Weiß
068836868,2020_12_16,rechts,1.3049,1,Weiß
068836868,2021_04_14,rechts,1.236,2,Weiß
068836868,2022_04_20,rechts,0.6958,3,Weiß
068836868,2023_04_18,rechts,1.3749,4,Weiß
068841568,2020_11_16,links,1.0173,1,Gelb
068841568,2021_04_13,links,1.2412,2,Gelb
068841568,2022_04_20,links,0.9899,3,Gelb
068841568,2023_04_18,links,0.8544,4,Gelb
068841568,2020_11_16,rechts,1.0801,1,Gelb
068841568,2021_04_13,rechts,0.9192,2,Gelb
068841568,2022_04_20,rechts,1.0067,3,Gelb
068841568,2023_04_18,rechts,0.996,4,Gelb
215465974,2021_11_08,links,1.1843,1,Gelb
215465974,2022_04_20,links,1.0824,2,Gelb
215465974,2023_04_18,links,0.8603,3,Gelb
215465974,2022_04_20,rechts,1.2435,1,Gelb
215465974,2023_04_18,rechts,1.1053,2,Gelb
215466174,2021_04_13,links,1.2122,1,
215466174,2022_04_20,links,0.9758,2,
215466174,2021_04_13,rechts,1.1001,1,
215466174,2021_11_08,rechts,0.9263,2,
215466174,2022_04_20,rechts,1.1956,3,
215467274,2021_04_13,links,1.0588,1,
215467274,2022_04_20,links,1.0752,2,
215467274,2021_04_13,rechts,1.0424,1,
215467274,2021_11_08,rechts,0.8007,2,
215467274,2022_04_20,rechts,0.8304,3,
215468374,2021_04_13,links,1.0775,1,Weiß
215468374,2022_04_20,links,1.1917,2,Weiß
215468374,2023_01_24,links,0.9256,3,Weiß
215468374,2023_04_18,links,1.111,4,Weiß
215468374,2021_04_13,rechts,1.0293,1,Weiß
215468374,2022_04_20,rechts,1.2195,2,Weiß
215468374,2023_01_24,rechts,1.261,3,Weiß
215468374,2023_04_18,rechts,1.4206,4,Weiß
215470674,2021_11_08,links,1.0882,1,
215470674,2022_04_20,links,1.0677,2,
215470674,2022_04_20,rechts,1.253,1,
215476374,2021_11_08,links,1.0118,1,
215476374,2022_04_20,links,1.0785,2,
215476374,2022_04_20,rechts,0.8991,1,
215478574,2022_04_20,links,1.1848,1,Gelb
215478574,2023_04_18,links,0.8448,2,Gelb
215478574,2021_11_08,rechts,0.891,1,Gelb
215478574,2022_04_20,rechts,1.1964,2,Gelb
215478574,2023_04_18,rechts,1.1653,3,Gelb
215480874,2022_04_20,links,1.2299,1,Gelb
215480874,2023_04_18,links,0.8941,2,Gelb
215480874,2021_11_08,rechts,0.9631,1,Gelb
215480874,2022_04_20,rechts,1.1749,2,Gelb
215480874,2023_04_18,rechts,1.1547,3,Gelb
270808688,2023_04_18,links,0.8402,1,Weiß
270808688,2023_04_18,rechts,1.3174,1,Weiß
270809788,2023_04_18,links,0.9278,1,Gelb
270809788,2023_04_18,rechts,1.2972,1,Gelb
270810988,2023_04_18,links,1.0057,1,Weiß
270810988,2023_04_18,rechts,1.0983,1,Weiß
283035569,2020_12_16,links,1.2596,1,
283035569,2021_11_08,links,1.0393,2,
283035569,2022_04_20,links,1.1343,3,
283035569,2023_04_18,links,1.1266,4,
283035569,2020_12_16,rechts,0.9422,1,
283035569,2022_04_20,rechts,1.4098,2,
283035569,2023_04_18,rechts,0.7434,3,
283036669,2021_04_13,links,1.2843,1,
283036669,2021_04_13,rechts,1.1818,1,
283041369,2021_04_13,links,1.1237,1,Weiß
283041369,2022_04_20,links,1.3071,2,Weiß
283041369,2021_04_13,rechts,1.0611,1,Weiß
283041369,2022_04_20,rechts,1.3711,2,Weiß
283045769,2020_11_16,links,1.1389,1,
283045769,2021_04_13,links,1.1835,2,
283045769,2022_04_20,links,0.995,3,
283045769,2020_11_16,rechts,0.925,1,
283045769,2021_04_13,rechts,0.9466,2,
283045769,2022_04_20,rechts,1.1593,3,
283048169,2021_04_13,links,1.0109,1,Weiß
283048169,2022_04_20,links,1.2783,2,Weiß
283048169,2023_04_18,links,1.3394,3,Weiß
283048169,2021_04_13,rechts,0.9511,1,Weiß
283048169,2021_11_08,rechts,1.2913,2,Weiß
283048169,2022_04_20,rechts,1.3743,3,Weiß
283048169,2023_04_18,rechts,0.6424,4,Weiß
