Ohrmarkennummer,Datum,Klaue,Relative Klauenfläche (=Aussen/Innen),Mess Nr.,Gruppe,Geburtsdatum,Alter [Tage]
033260869,2021-04-14,links,0.9646,1,Gelb,2018-10-08,919.0
033260869,2022-04-20,links,1.2321,2,Gelb,2018-10-08,1290.0
033260869,2023-04-18,links,0.9098,3,Gelb,2018-10-08,1653.0
033260869,2021-04-14,rechts,0.9761,1,Gelb,2018-10-08,919.0
033260869,2022-04-20,rechts,0.9911,2,Gelb,2018-10-08,1290.0
033260869,2023-04-18,rechts,1.1592,3,Gelb,2018-10-08,1653.0
068836868,2020-12-16,links,1.1993,1,Weiß,2018-03-05,1017.0
068836868,2021-04-14,links,1.3897,2,Weiß,2018-03-05,1136.0
068836868,2022-04-20,links,1.2425,3,Weiß,2018-03-05,1507.0
068836868,2023-04-18,links,1.1922,4,Weiß,2018-03-05,1870.0
068836868,2024-12-11,links,1.3226,5,Weiß,2018-03-05,2473.0
068836868,2020-12-16,rechts,1.3049,1,Weiß,2018-03-05,1017.0
068836868,2021-04-14,rechts,1.236,2,Weiß,2018-03-05,1136.0
068836868,2022-04-20,rechts,0.6958,3,Weiß,2018-03-05,1507.0
068836868,2023-04-18,rechts,1.3749,4,Weiß,2018-03-05,1870.0
068836868,2024-12-11,rechts,1.4759,5,Weiß,2018-03-05,2473.0
068841568,2020-11-16,links,1.0173,1,Gelb,2018-03-27,965.0
068841568,2021-04-13,links,1.2412,2,Gelb,2018-03-27,1113.0
068841568,2022-04-20,links,0.9899,3,Gelb,2018-03-27,1485.0
068841568,2023-04-18,links,0.8544,4,Gelb,2018-03-27,1848.0
068841568,2020-11-16,rechts,1.0801,1,Gelb,2018-03-27,965.0
068841568,2021-04-13,rechts,0.9192,2,Gelb,2018-03-27,1113.0
068841568,2022-04-20,rechts,1.0067,3,Gelb,2018-03-27,1485.0
068841568,2023-04-18,rechts,0.996,4,Gelb,2018-03-27,1848.0
215465974,2021-11-08,links,1.1843,1,Gelb,2020-05-09,548.0
215465974,2022-04-20,links,1.0824,2,Gelb,2020-05-09,711.0
215465974,2023-04-18,links,0.8603,3,Gelb,2020-05-09,1074.0
215465974,2024-12-11,links,0.9332,4,Gelb,2020-05-09,1677.0
215465974,2022-04-20,rechts,1.2435,1,Gelb,2020-05-09,711.0
215465974,2023-04-18,rechts,1.1053,2,Gelb,2020-05-09,1074.0
215465974,2024-12-11,rechts,1.0661,3,Gelb,2020-05-09,1677.0
215466174,2021-04-13,links,1.2122,1,,2020-05-09,339.0
215466174,2022-04-20,links,0.9758,2,,2020-05-09,711.0
215466174,2021-04-13,rechts,1.1001,1,,2020-05-09,339.0
215466174,2021-11-08,rechts,0.9263,2,,2020-05-09,548.0
215466174,2022-04-20,rechts,1.1956,3,,2020-05-09,711.0
215467274,2021-04-13,links,1.0588,1,,2020-05-20,328.0
215467274,2022-04-20,links,1.0752,2,,2020-05-20,700.0
215467274,2021-04-13,rechts,1.0424,1,,2020-05-20,328.0
215467274,2021-11-08,rechts,0.8007,2,,2020-05-20,537.0
215467274,2022-04-20,rechts,0.8304,3,,2020-05-20,700.0
215468374,2021-04-13,links,1.0775,1,Weiß,2020-06-01,316.0
215468374,2022-04-20,links,1.1917,2,Weiß,2020-06-01,688.0
215468374,2023-01-24,links,0.9256,3,Weiß,2020-06-01,967.0
215468374,2023-04-18,links,1.111,4,Weiß,2020-06-01,1051.0
215468374,2024-12-11,links,1.2326,5,Weiß,2020-06-01,1654.0
215468374,2021-04-13,rechts,1.0293,1,Weiß,2020-06-01,316.0
215468374,2022-04-20,rechts,1.2195,2,Weiß,2020-06-01,688.0
215468374,2023-01-24,rechts,1.261,3,Weiß,2020-06-01,967.0
215468374,2023-04-18,rechts,1.4206,4,Weiß,2020-06-01,1051.0
215468374,2024-12-11,rechts,0.8781,5,Weiß,2020-06-01,1654.0
215470674,2021-11-08,links,1.0882,1,,2020-06-05,521.0
215470674,2022-04-20,links,1.0677,2,,2020-06-05,684.0
215470674,2022-04-20,rechts,1.253,1,,2020-06-05,684.0
215476374,2021-11-08,links,1.0118,1,,2020-07-04,492.0
215476374,2022-04-20,links,1.0785,2,,2020-07-04,655.0
215476374,2022-04-20,rechts,0.8991,1,,2020-07-04,655.0
215478574,2022-04-20,links,1.1848,1,Gelb,2020-07-14,645.0
215478574,2023-04-18,links,0.8448,2,Gelb,2020-07-14,1008.0
215478574,2024-12-11,links,1.216,3,Gelb,2020-07-14,1611.0
215478574,2021-11-08,rechts,0.891,1,Gelb,2020-07-14,482.0
215478574,2022-04-20,rechts,1.1964,2,Gelb,2020-07-14,645.0
215478574,2023-04-18,rechts,1.1653,3,Gelb,2020-07-14,1008.0
215478574,2024-12-11,rechts,0.9439,4,Gelb,2020-07-14,1611.0
215480874,2022-04-20,links,1.2299,1,Gelb,2020-07-20,639.0
215480874,2023-04-18,links,0.8941,2,Gelb,2020-07-20,1002.0
215480874,2024-12-11,links,0.9405,3,Gelb,2020-07-20,1605.0
215480874,2021-11-08,rechts,0.9631,1,Gelb,2020-07-20,476.0
215480874,2022-04-20,rechts,1.1749,2,Gelb,2020-07-20,639.0
215480874,2023-04-18,rechts,1.1547,3,Gelb,2020-07-20,1002.0
215480874,2024-12-11,rechts,1.1236,4,Gelb,2020-07-20,1605.0
270808688,2023-04-18,links,0.8402,1,Weiß,2021-09-22,573.0
270808688,2024-12-11,links,1.1312,2,Weiß,2021-09-22,1176.0
270808688,2023-04-18,rechts,1.3174,1,Weiß,2021-09-22,573.0
270808688,2024-12-11,rechts,1.3961,2,Weiß,2021-09-22,1176.0
270809788,2023-04-18,links,0.9278,1,Gelb,2021-09-22,573.0
270809788,2023-04-18,rechts,1.2972,1,Gelb,2021-09-22,573.0
270810988,2023-04-18,links,1.0057,1,Weiß,2021-09-24,571.0
270810988,2024-12-11,links,1.2255,2,Weiß,2021-09-24,1174.0
270810988,2023-04-18,rechts,1.0983,1,Weiß,2021-09-24,571.0
270810988,2024-12-11,rechts,0.7162,2,Weiß,2021-09-24,1174.0
283035569,2020-12-16,links,1.2596,1,,2019-03-21,636.0
283035569,2021-11-08,links,1.0393,2,,2019-03-21,963.0
283035569,2022-04-20,links,1.1343,3,,2019-03-21,1126.0
283035569,2023-04-18,links,1.1266,4,,2019-03-21,1489.0
283035569,2024-12-11,links,1.1656,5,,2019-03-21,2092.0
283035569,2020-12-16,rechts,0.9422,1,,2019-03-21,636.0
283035569,2022-04-20,rechts,1.4098,2,,2019-03-21,1126.0
283035569,2023-04-18,rechts,0.7434,3,,2019-03-21,1489.0
283035569,2024-12-11,rechts,0.9822,4,,2019-03-21,2092.0
283036669,2021-04-13,links,1.2843,1,,2019-04-10,734.0
283036669,2021-04-13,rechts,1.1818,1,,2019-04-10,734.0
283041369,2021-04-13,links,1.1237,1,Weiß,2019-05-21,693.0
283041369,2022-04-20,links,1.3071,2,Weiß,2019-05-21,1065.0
283041369,2021-04-13,rechts,1.0611,1,Weiß,2019-05-21,693.0
283041369,2022-04-20,rechts,1.3711,2,Weiß,2019-05-21,1065.0
283045769,2020-11-16,links,1.1389,1,,2019-06-05,530.0
283045769,2021-04-13,links,1.1835,2,,2019-06-05,678.0
283045769,2022-04-20,links,0.995,3,,2019-06-05,1050.0
283045769,2020-11-16,rechts,0.925,1,,2019-06-05,530.0
283045769,2021-04-13,rechts,0.9466,2,,2019-06-05,678.0
283045769,2022-04-20,rechts,1.1593,3,,2019-06-05,1050.0
283048169,2021-04-13,links,1.0109,1,Weiß,2019-06-26,657.0
283048169,2022-04-20,links,1.2783,2,Weiß,2019-06-26,1029.0
283048169,2023-04-18,links,1.3394,3,Weiß,2019-06-26,1392.0
283048169,2021-04-13,rechts,0.9511,1,Weiß,2019-06-26,657.0
283048169,2021-11-08,rechts,1.2913,2,Weiß,2019-06-26,866.0
283048169,2022-04-20,rechts,1.3743,3,Weiß,2019-06-26,1029.0
283048169,2023-04-18,rechts,0.6424,4,Weiß,2019-06-26,1392.0
283049269,2020-11-16,links,1.0496,1,Gelb,2019-06-26,509.0
283049269,2021-04-13,links,1.1011,2,Gelb,2019-06-26,657.0
283049269,2022-04-20,links,1.0821,3,Gelb,2019-06-26,1029.0
283049269,2023-04-18,links,0.8465,4,Gelb,2019-06-26,1392.0
283049269,2020-11-16,rechts,1.1225,1,Gelb,2019-06-26,509.0
283049269,2021-04-13,rechts,0.8553,2,Gelb,2019-06-26,657.0
283049269,2021-11-08,rechts,0.6877,3,Gelb,2019-06-26,866.0
